06/01/2017 15:16:08 ----------- Inicio processamento: 06/01/2017 15:16:08
06/01/2017 15:16:09 ; SUCC ; 200 ; 390 ; GET ; http://brux0338:9200/esb/services/ListarPacotesDisponiveisAssinantev1?wsdl
06/01/2017 15:16:10 ; SUCC ; 200 ; 1091 ; GET ; http://brux0338:9200/esb/services/ConsultarPlanoPrecoAssinantev1?wsdl
06/01/2017 15:16:10 ; SUCC ; 200 ; 1091 ; GET ; http://brux0338:9200/esb/services/ConsultarUltimoAssinantev1?wsdl
06/01/2017 15:16:10 ; SUCC ; 200 ; 1092 ; GET ; http://brux0338:9200/esb/services/ConsultarDadosFaturamentoClientev1?wsdl
06/01/2017 15:16:10 ; SUCC ; 200 ; 64 ; GET ; http://brux0338:9200/esb/services/CalcularMultaAssinantev2?wsdl
06/01/2017 15:16:10 ; SUCC ; 200 ; 717 ; GET ; http://brux0338:9200/esb/services/ConsultarSimCardv1?wsdl
06/01/2017 15:16:10 ; SUCC ; 200 ; 859 ; GET ; http://brux0338:9200/esb/services/ConsultarDadosCadastraisClientev1?wsdl
06/01/2017 15:16:10 ; SUCC ; 200 ; 858 ; GET ; http://brux0338:9200/esb/services/GerarAtendimentov1?wsdl
06/01/2017 15:16:10 ; SUCC ; 200 ; 1638 ; GET ; http://brux0338:9200/esb/services/ConsultarClienteClaroClubev1?wsdl
06/01/2017 15:16:11 ; SUCC ; 200 ; 2730 ; GET ; http://brux0338:9200/esb/services/ConsultarDadosInspecaoDocumentacaov1?wsdl
06/01/2017 15:16:11 ; SUCC ; 200 ; 781 ; GET ; http://brux0338:9200/esb/services/GerarSessaoUsuarioClaroClubev1?wsdl
06/01/2017 15:16:11 ; SUCC ; 200 ; 765 ; GET ; http://brux0338:9200/esb/services/ListarAssinantesv1?wsdl
06/01/2017 15:16:12 ; SUCC ; 200 ; 842 ; GET ; http://brux0338:9200/esb/services/ConsultarOfertasAssinantev1?wsdl
06/01/2017 15:16:12 ; SUCC ; 200 ; 936 ; GET ; http://brux0338:9200/esb/services/ListarEnderecosv1?wsdl
06/01/2017 15:16:14 ; SUCC ; 200 ; 2510 ; GET ; http://brux0338:9200/esb/services/AdicionarPacotesAssinantev1?wsdl
06/01/2017 15:16:14 ; SUCC ; 200 ; 1606 ; GET ; http://brux0338:9200/esb/services/NotificarAprovisionamentoAssinantev1?wsdl
06/01/2017 15:16:17 ; SUCC ; 200 ; 2966 ; GET ; http://brux0338:9200/esb/services/ListarExtratoConsolidadoEventosv1?wsdl
06/01/2017 15:17:18 ; ERRO ; 500 ; 69805 ; GET ; http://brux0338:9200/esb/services/ConsultarSaldoAssinantev2?wsdl
06/01/2017 15:17:18 ; ERRO ; 500 ; 67933 ; GET ; http://brux0338:9200/esb/services/ListarFriendsAndFamilyAssinantev1?wsdl
06/01/2017 15:17:18 ; ERRO ; 500 ; 69805 ; GET ; http://brux0338:9200/esb/services/AdicionarPromocaoAssinantev1?wsdl
06/01/2017 15:17:18 ; ERRO ; 500 ; 61599 ; GET ; http://brux0338:9200/esb/services/ConsultarConsumoBandaLargav2?wsdl
06/01/2017 15:17:18 ; ERRO ; 500 ; 69837 ; GET ; http://brux0338:9200/esb/services/NotificarEventoAssinantev1?wsdl
06/01/2017 15:17:18 ; ERRO ; 500 ; 64627 ; GET ; http://brux0338:9200/esb/services/CancelarAssinanteWppv2?wsdl
06/01/2017 15:17:18 ; ERRO ; 500 ; 69868 ; GET ; http://brux0338:9200/esb/services/RemoverOfertasAssinantev1?wsdl
06/01/2017 15:17:18 ; ERRO ; 500 ; 67934 ; GET ; http://brux0338:9200/esb/services/ListarPromocoesAssinantev1?wsdl
06/01/2017 15:17:19 ; SUCC ; 200 ; 1017 ; GET ; http://brux0338:9200/esb/services/RemoverPacotesAssinantev2?wsdl
06/01/2017 15:17:19 ; SUCC ; 200 ; 1143 ; GET ; http://brux0338:9200/esb/services/ConsultarCartaoCreditoFaturamentov1?wsdl
06/01/2017 15:17:21 ; SUCC ; 200 ; 2578 ; GET ; http://brux0338:9200/esb/services/ListarHistoricoConsolidadoEventosAssinantev2?wsdl
06/01/2017 15:17:21 ; SUCC ; 200 ; 2633 ; GET ; http://brux0338:9200/esb/services/ConsultarCriticidadeClientev1?wsdl
06/01/2017 15:17:21 ; SUCC ; 200 ; 2680 ; GET ; http://brux0338:9200/esb/services/CadastrarAssinantev1?wsdl
06/01/2017 15:18:33 ; ERRO ; 500 ; 73736 ; GET ; http://brux0338:9200/esb/services/AtualizarSenhaUsuarioExternov2?wsdl
06/01/2017 15:19:11 ; ERRO ; 500 ; 113250 ; GET ; http://brux0338:9200/esb/services/ConsultarClienteContaOnlinev2?wsdl
06/01/2017 15:19:12 ; ERRO ; 500 ; 179448 ; GET ; http://brux0338:9200/esb/services/VerificarCarenciaAssinantev1?wsdl
06/01/2017 15:20:42 ; ERRO ; 500 ; 90318 ; GET ; http://brux0338:9200/esb/services/ListarHistoricoConsumoClientev1?wsdl
06/01/2017 15:20:43 ; ERRO ; 500 ; 204356 ; GET ; http://brux0338:9200/esb/services/SincronizarUsuarioSitev1?wsdl
